Name,Country_Code,5yr-avg_gdp_pc,5yr-avg_pop,5yr-avg_vuln,5yr-avg_rdness,CO2_emissions_per_capita,Region,Income Group,CO2_emi,5yr-avg_gdp
Afghanistan,AFG,2073.308601,36261454.2,0.579088335,0.249294003,0.144460871,South Asia,Low income,3951.034483,18767769749
Albania,ALB,13034.34105,2870165.6,0.412899819,0.419692526,1.280521781,Europe & Central Asia,Upper middle income,3845.517241,14065038724
Algeria,DZA,11864.62133,41390022,0.383862932,0.317838536,2.879462487,Middle East & North Africa,Lower middle income,97607.93103,1.64364E+11
Andorra,AND,,77291.4,,0.408561035,6.778151507,Europe & Central Asia,High income,486.2068966,3067560366
Angola,AGO,7163.922899,29835734,0.504246588,0.24018255,0.925282066,Sub-Saharan Africa,Lower middle income,19505.86207,94478814169
Antigua and Barbuda,ATG,20636.22597,95384.6,0.464269942,0.451701441,5.248095656,Latin America & Caribbean,High income,430.3448276,1513664444
Argentina,ARG,22072.85854,44040071.8,0.389927801,0.370555617,3.749660195,Latin America & Caribbean,Upper middle income,145638.2759,5.1344E+11
Armenia,ARM,12014.3266,2943203,0.384585113,0.496439545,1.807381813,Europe & Central Asia,Upper middle income,5667.586207,12158407359
Australia,AUS,49406.67175,24591151.4,0.305449362,0.708773749,16.84442616,East Asia & Pacific,High income,345271.3793,1.33638E+12
Austria,AUT,55232.32793,8778904.2,0.268123655,0.701397822,8.014399024,Europe & Central Asia,High income,65755.17241,4.29307E+11
Azerbaijan,AZE,14605.57697,9844855,0.398818162,0.435445906,4.557768659,Europe & Central Asia,Upper middle income,37541.72414,43325486162
Bahamas,BHS,36107.82623,381804,0.439498091,0.437207238,7.375294307,Latin America & Caribbean,High income,2368.62069,12052400000
Bahrain,BHR,46482.08505,1500465.4,0.444246895,0.476513861,22.53782824,Middle East & North Africa,High income,20464.48276,35778404255
Bangladesh,BGD,4215.883138,159659981.8,0.548296724,0.269279246,0.259072278,South Asia,Lower middle income,37006.89655,2.74159E+11
Barbados,BRB,15927.85841,286203.8,0.369808479,0.531226658,5.213589484,Latin America & Caribbean,High income,1440.344828,4904300000
Belarus,BLR,18677.90631,9487953.8,0.33338995,0.505973842,6.298504054,Europe & Central Asia,Upper middle income,61780.68966,57429680318
Belgium,BEL,51214.74962,11378377,0.320543741,0.603520209,10.19930483,Europe & Central Asia,High income,107315.8621,5.1585E+11
Belize,BLZ,7227.817344,375705.2,0.42994796,0.331412356,1.974267103,Latin America & Caribbean,Lower middle income,543.1034483,1836506578
Benin,BEN,3121.341985,11181884.4,0.580074631,0.321289011,0.350796251,Sub-Saharan Africa,Lower middle income,3159.655172,13765671974
Bhutan,BTN,11016.21691,745527.8,0.530053848,0.468203861,0.76661101,South Asia,Lower middle income,511.0344828,2381459574
"Bolivia, Plurinational State of",BOL,8206.856955,11192127.8,0.469742448,0.284879152,1.292447672,Latin America & Caribbean,Lower middle income,12195.86207,37841100800
Bosnia and Herzegovina,BIH,14111.40748,3358416.8,0.362643855,0.369918006,4.42704353,Europe & Central Asia,Upper middle income,16461.03448,19063718459
Botswana,BWA,17335.45337,2208722.2,0.453751555,0.429966526,2.452492382,Sub-Saharan Africa,Upper middle income,4430.689655,15948180859
Brazil,BRA,14754.38471,207797503.6,0.383436541,0.349245607,1.828496367,Latin America & Caribbean,Upper middle income,338192.7586,1.81974E+12
Brunei Darussalam,BRN,61308.20218,424285.4,0.354226753,0.507232981,15.4661967,East Asia & Pacific,High income,5507.931034,12514311806
Bulgaria,BGR,21752.90401,7076511.6,0.339255839,0.468582882,6.246164824,Europe & Central Asia,Upper middle income,48912.75862,63664306214
Burkina Faso,BFA,2019.977435,19204639.8,0.551235199,0.297687558,0.113024128,Sub-Saharan Africa,Low income,1677.586207,15388430721
Burundi,BDI,795.4329058,10836202,0.554160168,0.267490252,0.035602189,Sub-Saharan Africa,Low income,277.2413793,2724541104
Cambodia,KHM,3967.164889,16006696.6,0.524042437,0.289502362,0.279160591,East Asia & Pacific,Lower middle income,3900.689655,23932730637
Cameroon,CMR,3542.979849,24576713.8,0.476047104,0.261346808,0.388995706,Sub-Saharan Africa,Lower middle income,6846.896552,38072430833
Canada,CAN,48448.22149,36600548.6,0.2872997,0.665936402,15.93460546,North America,High income,512069.6552,1.65801E+12
Cape Verde,CPV,6696.197789,537417.6,0.421413904,0.44051401,0.724866896,Sub-Saharan Africa,Lower middle income,344.4827586,1816673092
Central African Republic,CAF,898.6816138,4607689.4,0.559482586,0.138331952,0.061367183,Sub-Saharan Africa,Low income,240.3448276,2143748418
Chad,TCD,1667.169824,15022808.2,0.626790907,0.185001269,0.069339007,Sub-Saharan Africa,Low income,707.9310345,10696273758
Chile,CHL,24639.873,18466011.6,0.318027901,0.551734074,3.557311757,Latin America & Caribbean,High income,58108.27586,2.71474E+11
China,CHN,14662.90824,1385345000,0.38783218,0.473155124,4.42957883,East Asia & Pacific,Upper middle income,5841867.586,1.32882E+13
Colombia,COL,14482.50948,48921211.6,0.408911613,0.380313562,1.515349168,Latin America & Caribbean,Upper middle income,63185.51724,3.04755E+11
Comoros,COM,2988.434485,814023.2,0.523137246,0.297253169,0.204969019,Sub-Saharan Africa,Lower middle income,128.6206897,1141406569
Congo,COG,4131.99447,5114533.4,0.508837512,0.229394817,1.001994036,Sub-Saharan Africa,Lower middle income,3587.931034,11582733220
"Congo, the Democratic Republic o",COD,1037.5625,81458218.6,0.593706625,0.228839085,0.033658179,Sub-Saharan Africa,Low income,1854.827586,44283555620
Costa Rica,CRI,19411.26882,4948821,0.362656982,0.457384106,1.429318672,Latin America & Caribbean,Upper middle income,6049.655172,61540598157
Cote d'Ivoire,CIV,4961.988826,24454419.8,0.512107521,0.289096703,0.319218009,Sub-Saharan Africa,Lower middle income,5975.172414,55490372825
Croatia,HRV,27070.68925,4131565.4,0.365965296,0.494396953,4.182794769,Europe & Central Asia,High income,18286.89655,58041490054
Cuba,CUB,,11334154,0.4215274,0.335771701,2.387512729,Latin America & Caribbean,Upper middle income,26540.68966,99810200000
Cyprus,CYP,37173.93603,1179738.4,0.345826857,0.520717639,6.89240587,Europe & Central Asia,High income,6877.586207,23943590351
Czech Republic,CZE,39133.38779,10601293.2,0.283257182,0.562349112,11.43077543,Europe & Central Asia,High income,118384.1379,2.32338E+11
Denmark,DNK,55584.18384,5757732.4,0.340709162,0.779345199,9.487069395,Europe & Central Asia,High income,51121.03448,3.41145E+11
Djibouti,DJI,5054.610188,943936.4,0.48467986,0.316961945,0.545585026,Middle East & North Africa,Lower middle income,418.6206897,3015358011
Dominica,DMA,11731.30199,71476.2,0.415377905,0.532143711,2.149619255,Latin America & Caribbean,Upper middle income,152.0689655,552488148.1
Dominican Republic,DOM,16991.38966,10511735.4,0.423909014,0.356357688,1.955004422,Latin America & Caribbean,Upper middle income,17799.65517,81808815183
Ecuador,ECU,11486.91565,16789303,0.438901496,0.330955668,1.991072697,Latin America & Caribbean,Upper middle income,27682.75862,1.03742E+11
Egypt,EGY,11529.25786,96428776,0.437771667,0.334132973,1.994396187,Middle East & North Africa,Lower middle income,154547.2414,2.97244E+11
El Salvador,SLV,8416.033434,6388737.2,0.441000287,0.344768137,0.972422347,Latin America & Caribbean,Lower middle income,5846.206897,25345370000
Equatorial Guinea,GNQ,21457.48929,1262141.6,0.44499367,0.240778998,5.834944699,Sub-Saharan Africa,Upper middle income,5049.310345,11595573945
Eritrea,ERI,,,0.585796386,0.210889511,0.224105392,Sub-Saharan Africa,Low income,598.9655172,
Estonia,EST,34478.02604,1319429.6,0.343141116,0.624868859,13.04781722,Europe & Central Asia,High income,18170.34483,28636518502
Ethiopia,ETH,2006.435922,106428454.4,0.558643306,0.304690457,0.075698768,Sub-Saharan Africa,Low income,6314.827586,88778880744
Fiji,FJI,13389.45521,878384.2,0.42369929,0.432057481,1.316642174,East Asia & Pacific,Upper middle income,1090,5179025810
Finland,FIN,47913.3017,5503777.4,0.285955649,0.756505514,10.6927966,Europe & Central Asia,High income,56040.34483,2.62047E+11
France,FRA,45531.82086,66832510.8,0.290522708,0.659130918,5.653305251,Europe & Central Asia,High income,353015.5172,2.64365E+12
Gabon,GAB,14941.56834,2062447.2,0.418881879,0.291802949,3.469319245,Sub-Saharan Africa,Upper middle income,4742.413793,15602387310
Gambia,GMB,2148.026244,2215340.2,0.533114985,0.309284478,0.221962932,Sub-Saharan Africa,Low income,350,1668155129
Georgia,GEO,13759.48371,3725543.2,0.393846308,0.559158084,2.037160184,Europe & Central Asia,Upper middle income,8664.137931,16461624149
Germany,DEU,53106.17028,82546172.6,0.283712091,0.703273932,10.00867843,Europe & Central Asia,High income,817393.1034,3.77455E+12
Ghana,GHA,5195.424201,29127517.2,0.462444053,0.352769775,0.361825814,Sub-Saharan Africa,Lower middle income,8381.724138,64148131220
Greece,GRC,29585.74103,10760147.4,0.319908803,0.516486372,7.856250089,Europe & Central Asia,High income,84909.65517,1.99804E+11
Grenada,GRD,16079.82536,110838.2,0.375835243,0.529862817,2.453976418,Latin America & Caribbean,Upper middle income,257.5862069,1121728889
